Country,ISO3,Population,ForeignBornPop,ForeignBornPercent,UrbanPercent,Urbanization,Mliteracy,Fliteracy,LiteracyDif,GDP,MedianAge,YUnemployment,PopGrowth
Saint Lucia,LCA,184999,7610,4.11,18.5,0.89,,,,7839.376139,34.2,40.8,0.33
Saint Pierre and Miquelon,SPM,6080,1094,17.99,90.4,0.1,,,,,45.9,,-1.09
Saint Vincent and the Grenadines,VCT,109462,,0,50.6,0.72,,,,6739.174745,33,,-0.26
San Marino,SMR,31781,,0,94.2,0.62,,,,49240.17413,44.2,,0.78
Slovak Republic,SVK,5424050,149708,2.76,53.6,-0.31,,,,16082.46305,40.1,34,0.01
Somalia,SOM,10787104,,0,39.6,4.06,,,,144.545663,17.9,,1.92
Sweden,SWE,9798871,1426402,14.56,85.8,0.83,,,,50687.46945,41.2,23.7,0.81
Switzerland,CHE,8286976,2158424,26.05,73.9,1.08,,,,80831.08433,42.2,8.4,0.7
Tokelau,TKL,1411,431,30.55,0,0,,,,,,,-0.01
Turks and Caicos Islands,TCA,34339,,0,92.2,2.48,,,,25121.79242,32.9,,2.23
Tuvalu,TUV,9916,203,2.05,59.7,1.91,,,,3362.370398,25.5,,0.85
United Kingdom,GBR,65138232,7993480,12.27,82.6,0.88,,,,44162.36292,40.5,21,0.53
United States,USA,321418820,31107889,9.68,81.6,1.02,,,,56053.84116,37.9,17.3,0.81
United States Virgin Islands,VIR,103574,,0,#REF!,,,,,,45.6,,-0.62
Wallis and Futuna Islands,WLF,15500,,0,#REF!,0,,,,,31.6,,0.33
